"","B_Name","R_Name","total_blue_strikes","total_red_strikes","winner","winby"
"82","Frankie Edgar","Jose Aldo",190,135,"red","DEC"
"83","Kamaru Usman","Warlley Alves",104,164,"blue","DEC"
"84","Chico Camus","Henry Cejudo",108,122,"red","DEC"
"85","Yoel Romero","Brad Tavares",60,45,"blue","DEC"
"86","Augusto Mendes","Aljamain Sterling",53,247,"red","DEC"
"87","Eddie Alvarez","Anthony Pettis",79,64,"blue","DEC"
"88","Albert Tumenov","Alan Jouban",129,167,"blue","KO/TKO"
"89","Ning Guangyou","Marlon Vera",0,48,"red","DEC"
"90","Devin Clark","Josh Stansbury",14,61,"blue","DEC"
"91","Dominique Steele","Zak Cummings",0,46,"red","KO/TKO"
"92","Takenori Sato","Hyun Gyu Lim",0,59,"red","KO/TKO"
"93","Matt Brown","Donald Cerrone",183,443,"red","KO/TKO"
"94","Magomed Mustafaev","Kevin Lee",36,257,"red","SUB"
"95","Frankie Perez","Sam Stout",16,28,"blue","KO/TKO"
"96","Gasan Umalatov","Viscardi Andrade",96,24,"red","DEC"
"97","Derek Brunson","Lorenz Larkin",38,55,"blue","DEC"
"98","Albert Tumenov","Lorenz Larkin",148,168,"blue","DEC"
"99","Anthony Hamilton","Daniel Omielanczuk",62,10,"blue","DEC"
"100","Kevin Casey","Rafael Natal",41,183,"red","KO/TKO"
"101","Masanori Kanehara","Alex Caceres",0,73,"blue","DEC"
"102","Jim Miller","Joe Lauzon",110,132,"blue","DEC"
"103","Kelvin Gastelum","Vitor Belfort",450,36,"blue","KO/TKO"
"104","Alessandro Ricci","Paul Felder",28,311,"red","KO/TKO"
"105","Takeya Mizugaki","Eddie Wineland",124,154,"red","KO/TKO"
"106","Jason Novelli","Polo Reyes",8,135,"red","DEC"
"107","Aljamain Sterling","Hugo Viana",46,79,"blue","KO/TKO"
"108","Charles Oliveira","Will Brooks",111,96,"blue","SUB"
"109","Magomed Bibulatov","Jenel Lausa",0,56,"blue","DEC"
"110","Trevor Smith","Caio Magalhaes",102,16,"red","KO/TKO"
"111","Brendan O'Reilly","Lipeng Zhang",0,10,"red","DEC"
"112","Henry Cejudo","Demetrious Johnson",227,196,"red","KO/TKO"
"113","Thiago Santos","Jack Marshman",149,42,"blue","KO/TKO"
"114","Scott Jorgensen","Alejandro Perez",88,38,"red","KO/TKO"
"115","Thomas Almeida","Brad Pickett",151,124,"blue","KO/TKO"
"116","Nicolas Dalby","Peter Sobotta",98,55,"red","DEC"
"117","Damian Grabowski","Derrick Lewis",0,129,"red","KO/TKO"
"118","Rodrigo Damm","Al Iaquinta",68,62,"red","KO/TKO"
"119","Krzysztof Jotko","Scott Askham",58,42,"blue","DEC"
"120","Drew Dober","Efrain Escudero",76,137,"red","SUB"
"121","Mitch Clarke","Michael Chiesa",8,49,"red","DEC"
"122","Diego Ferreira","Ramsey Nijem",7,80,"blue","KO/TKO"
"123","Jake Collier","Devin Clark",64,61,"red","DEC"
"124","Louis Smolka","Neil Seery",201,163,"blue","DEC"
"125","Cain Carrizosa","Leonardo Mafra",0,11,"red","DEC"
"126","Matthew Lopez","Mitch Gagnon",14,105,"blue","DEC"
"127","Paul Felder","Jason Saggo",0,10,"blue","DEC"
"128","Leslie Smith","Jessamyn Duke",79,62,"blue","KO/TKO"
"129","Francisco Trinaldo","Ross Pearson",226,149,"blue","DEC"
"130","Jimi Manuwa","Ovince Saint Preux",64,173,"blue","KO/TKO"
"131","Josh Barnett","Andrei Arlovski",82,138,"blue","SUB"
"132","Albert Tumenov","Leon Edwards",247,122,"red","SUB"
"133","Max Holloway","Cub Swanson",356,85,"blue","SUB"
"134","Josh Koscheck","Jake Ellenberger",0,39,"red","SUB"
"135","Daron Cruickshank","Erik Koch",46,19,"blue","KO/TKO"
"136","Joe Soto","Rani Yahya",166,90,"blue","DEC"
"137","Steve Bosse","Thiago Santos",0,71,"red","KO/TKO"
"138","Michael Chiesa","Jim Miller",108,95,"blue","SUB"
"139","Jimmie Rivera","Urijah Faber",156,171,"blue","DEC"
"140","Mehdi Baghdad","John Makdessi",1,294,"red","DEC"
"141","Cezar Ferreira","Jorge Masvidal",36,272,"red","KO/TKO"
"142","Beneil Dariush","Edson Barboza",338,357,"red","KO/TKO"
"143","Robbie Lawler","Johny Hendricks",145,90,"blue","DEC"
"144","Ericka Almeida","Aisling Daly",13,43,"red","DEC"
"145","Sarah Kaufman","Alexis Davis",202,55,"red","SUB"
"146","Ali Bagautinov","Joseph Benavidez",71,157,"red","DEC"
"147","Evan Dunham","Edson Barboza",0,28,"red","KO/TKO"
"148","Russell Doane","Iuri Alcantara",67,47,"red","DEC"
"149","Oluwale Bamgbose","Daniel Sarafian",7,27,"blue","KO/TKO"
"150","Hector Urbina","Vicente Luque",14,53,"red","KO/TKO"
