"","country","tot","latitude","longitude"
"147","Montserrat",0,16.742498,-62.187366
"148","Morocco",0,31.791702,-7.09262
"149","Mozambique",0,-18.665695,35.529562
"150","Myanmar [Burma]",0,21.913965,95.956223
"151","Namibia",0,-22.95764,18.49041
"152","Nauru",0,-0.522778,166.931503
"153","Nepal",0,28.394857,84.124008
"154","Netherlands",4,52.132633,5.291266
"155","Netherlands Antilles",0,12.226079,-69.060087
"156","New Caledonia",0,-20.904305,165.618042
"157","New Zealand",5,-40.900557,174.885971
"158","Nicaragua",1,12.865416,-85.207229
"159","Niger",0,17.607789,8.081666
"160","Nigeria",2,9.081999,8.675277
"161","Niue",0,-19.054445,-169.867233
"162","Norfolk Island",0,-29.040835,167.954712
"163","North Korea",0,40.339852,127.510093
"164","Northern Mariana Islands",0,17.33083,145.38469
"165","Norway",1,60.472024,8.468946
"166","Oman",0,21.512583,55.923255
"167","Pakistan",0,30.375321,69.345116
"168","Palau",0,7.51498,134.58252
"169","Palestinian Territories",0,31.952162,35.233154
"170","Panama",0,8.537981,-80.782127
"171","Papua New Guinea",0,-6.314993,143.95555
"172","Paraguay",0,-23.442503,-58.443832
"173","Peru",1,-9.189967,-75.015152
"174","Philippines",3,12.879721,121.774017
"175","Pitcairn Islands",0,-24.703615,-127.439308
"176","Poland",14,51.919438,19.145136
"177","Portugal",0,39.399872,-8.224454
"178","Puerto Rico",0,18.220833,-66.590149
"179","Qatar",0,25.354826,51.183884
"180","Réunion",0,-21.115141,55.536384
"181","Romania",1,45.943161,24.96676
"182","Russia",24,61.52401,105.318756
"183","Rwanda",0,-1.940278,29.873888
"184","Saint Helena",0,-24.143474,-10.030696
"185","Saint Kitts and Nevis",0,17.357822,-62.782998
"186","Saint Lucia",0,13.909444,-60.978893
"187","Saint Pierre and Miquelon",0,46.941936,-56.27111
"188","Saint Vincent and the Grenadines",0,12.984305,-61.287228
"189","Samoa",0,-13.759029,-172.104629
"190","San Marino",0,43.94236,12.457777
"191","São Tomé and Príncipe",0,0.18636,6.613081
"192","Saudi Arabia",0,23.885942,45.079162
"193","Senegal",0,14.497401,-14.452362
"194","Serbia",2,44.016521,21.005859
"195","Seychelles",0,-4.679574,55.491977
"196","Sierra Leone",0,8.460555,-11.779889
"197","Singapore",0,1.352083,103.819836
"198","Slovakia",0,48.669026,19.699024
"199","Slovenia",0,46.151241,14.995463
"200","Solomon Islands",0,-9.64571,160.156194
"201","Somalia",0,5.152149,46.199616
"202","South Africa",2,-30.559482,22.937506
"203","South Georgia and the South Sandwich Islands",0,-54.429579,-36.587909
"204","South Korea",8,35.907757,127.766922
"205","Spain",1,40.463667,-3.74922
"206","Sri Lanka",0,7.873054,80.771797
"207","Sudan",0,12.862807,30.217636
"208","Suriname",0,3.919305,-56.027783
"209","Svalbard and Jan Mayen",0,77.553604,23.670272
"210","Swaziland",0,-26.522503,31.465866
"211","Sweden",13,60.128161,18.643501
"212","Switzerland",1,46.818188,8.227512
"213","Syria",1,34.802075,38.996815
"214","Taiwan",0,23.69781,120.960515
"215","Tajikistan",0,38.861034,71.276093
"216","Tanzania",0,-6.369028,34.888822
"217","Thailand",0,15.870032,100.992541
"218","Timor-Leste",0,-8.874217,125.727539
"219","Togo",0,8.619543,0.824782
"220","Tokelau",0,-8.967363,-171.855881
"221","Tonga",0,-21.178986,-175.198242
"222","Trinidad and Tobago",0,10.691803,-61.222503
"223","Tunisia",0,33.886917,9.537499
"224","Turkey",1,38.963745,35.243322
"225","Turkmenistan",0,38.969719,59.556278
"226","Turks and Caicos Islands",0,21.694025,-71.797928
"227","Tuvalu",0,-7.109535,177.64933
"228","U.S. Minor Outlying Islands",0,0,0
"229","U.S. Virgin Islands",0,18.335765,-64.896335
"230","Uganda",0,1.373333,32.290275
"231","Ukraine",2,48.379433,31.16558
"232","United Arab Emirates",0,23.424076,53.847818
"233","United Kingdom",24,55.378051,-3.435973
"234","United States of America",331,37.09024,-95.712891
"235","Uruguay",0,-32.522779,-55.765835
"236","Uzbekistan",0,41.377491,64.585262
"237","Vanuatu",0,-15.376706,166.959158
"238","Vatican City",0,41.902916,12.453389
"239","Venezuela",2,6.42375,-66.58973
"240","Vietnam",0,14.058324,108.277199
"241","Wallis and Futuna",0,-13.768752,-177.156097
"242","Western Sahara",0,24.215527,-12.885834
"243","Yemen",0,15.552727,48.516388
"244","Zambia",0,-13.133897,27.849332
"245","Zimbabwe",0,-19.015438,29.154857
