"","B_Name","R_Name","BPrev","RPrev","BStreak","RStreak","B_Age","R_Age","B_Height","R_Height","B_Weight","R_Weight","B_Country","R_Country","Date","winby","winner","B__Round1_Grappling_Submissions_Attempts","B__Round2_Grappling_Submissions_Attempts","B__Round3_Grappling_Submissions_Attempts","R__Round1_Grappling_Submissions_Attempts","R__Round2_Grappling_Submissions_Attempts","R__Round3_Grappling_Submissions_Attempts","B__Round1_Grappling_Takedowns_Landed","B__Round2_Grappling_Takedowns_Landed","B__Round3_Grappling_Takedowns_Landed","R__Round1_Grappling_Takedowns_Landed","R__Round2_Grappling_Takedowns_Landed","R__Round3_Grappling_Takedowns_Landed","B__Round1_Strikes_Significant.Strikes_Landed","B__Round2_Strikes_Significant.Strikes_Landed","B__Round3_Strikes_Significant.Strikes_Landed","R__Round1_Strikes_Significant.Strikes_Landed","R__Round2_Strikes_Significant.Strikes_Landed","R__Round3_Strikes_Significant.Strikes_Landed"
"653","Kelvin Gastelum","Johny Hendricks",6,4,0,0,25,33,175,175,84,84,"States","States","07/11/2016","DEC","blue",1,0,0,0,1,0,2,0,2,4,5,4,82,120,62,46,98,64
"654","Jack Hermansson","Cezar Ferreira",1,6,1,2,28,32,185,185,84,84,"Sweden","Brazil","11/20/2016","SUB","red",0,0,0,0,0,0,0,0,1,5,3,4,16,40,32,49,34,16
"655","Abel Trujillo","Tony Ferguson",1,2,1,2,33,33,172,180,70,70,"States","States","12/08/2014","SUB","red",0,0,0,2,0,0,0,0,0,1,0,0,6,12,0,49,10,2
"656","Steve Kennedy","Peter Sobotta",0,1,0,1,34,30,182,182,77,77,"England","Poland","06/22/2015","SUB","red",0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,29,10,8
"657","Joachim Christensen","Henrique da Silva",0,1,0,1,38,27,190,190,93,93,"Denmark","Brazil","01/31/2017","SUB","red",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,49,0
"658","Raquel Pennington","Bethe Correia",4,3,1,0,28,33,170,165,61,61,"States","Brazil","04/17/2016","DEC","blue",2,2,0,0,0,0,1,2,2,0,0,0,44,67,57,54,101,36
"659","Brian Ebersole","John Howard",0,1,0,0,36,34,182,170,77,77,"USA","USA","09/29/2014","DEC","blue",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,15,14,6
"660","Mike de la Torre","Godofredo Pepey",5,4,1,0,30,29,180,170,65,65,"States","Brazil","09/26/2016","SUB","red",0,0,0,5,0,0,1,0,0,0,0,0,66,27,34,19,11,4
"661","Chico Camus","Brad Pickett",2,2,0,0,32,38,167,167,56,61,"USA","England","11/24/2014","DEC","blue",0,0,1,1,0,0,0,1,1,1,1,2,13,11,13,23,26,22
"662","Reza Madadi","Joe Duffy",2,1,1,1,38,29,180,177,70,70,"Iran","Ireland","03/18/2017","DEC","red",0,0,0,1,0,0,0,2,0,0,0,0,9,24,27,3,0,0
"663","Dominique Steele","Court McGee",2,2,0,0,29,32,177,180,77,77,"USA","USA","08/08/2016","DEC","red",0,0,0,0,0,0,2,1,3,0,0,2,12,16,8,49,12,32
"664","Chris Gruetzemacher","Chas Skelly",1,7,1,1,30,31,172,180,70,65,"States","USA","02/06/2017","SUB","red",0,0,0,7,4,2,0,0,0,4,2,1,38,36,29,58,45,8
"665","Tom Watson","Chris Camozzi",3,3,0,0,34,30,185,187,84,84,"England","USA","08/09/2015","DEC","red",0,0,0,0,0,1,0,0,0,0,0,0,53,54,57,33,24,59
"666","Nate Diaz","Rafael dos Anjos",0,3,0,2,31,32,182,175,77,70,"USA","Brazil","12/16/2014","DEC","red",0,0,0,2,1,0,0,0,0,1,1,0,0,0,0,45,24,5
"667","Stefan Struve","Antonio Silva",3,4,0,0,29,37,213,193,120,119,"Netherlands","Brazil","05/09/2016","KO/TKO","blue",0,0,0,0,0,0,0,0,1,0,0,0,24,41,63,20,12,0
"668","Anna Elmose","Germaine de Randamie",0,1,0,1,32,32,160,175,52,65,"Denmark","Netherlands","05/09/2016","KO/TKO","red",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,13,0
"669","Holly Holm","Raquel Pennington",0,2,0,1,35,28,172,170,65,61,"States","States","03/04/2015","DEC","blue",0,0,0,2,1,0,0,0,0,1,0,2,0,0,0,14,33,40
"670","Wilson Reis","Scott Jorgensen",2,2,1,1,32,34,162,165,56,61,"Brazil","USA","10/27/2014","SUB","blue",0,0,1,0,0,0,3,4,5,4,2,4,19,15,11,15,19,12
"671","Thibault Gouti","Teemu Packalen",0,1,0,0,30,29,177,185,70,70,"France","Finland","02/29/2016","SUB","red",0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,6,12,17
