"","B_Name","R_Name","BPrev","RPrev","BStreak","RStreak","B_Age","R_Age","B_Height","R_Height","B_Weight","R_Weight","B_Country","R_Country","Date","winby","winner","B__Round1_Grappling_Submissions_Attempts","B__Round2_Grappling_Submissions_Attempts","B__Round3_Grappling_Submissions_Attempts","R__Round1_Grappling_Submissions_Attempts","R__Round2_Grappling_Submissions_Attempts","R__Round3_Grappling_Submissions_Attempts","B__Round1_Grappling_Takedowns_Landed","B__Round2_Grappling_Takedowns_Landed","B__Round3_Grappling_Takedowns_Landed","R__Round1_Grappling_Takedowns_Landed","R__Round2_Grappling_Takedowns_Landed","R__Round3_Grappling_Takedowns_Landed","B__Round1_Strikes_Significant.Strikes_Landed","B__Round2_Strikes_Significant.Strikes_Landed","B__Round3_Strikes_Significant.Strikes_Landed","R__Round1_Strikes_Significant.Strikes_Landed","R__Round2_Strikes_Significant.Strikes_Landed","R__Round3_Strikes_Significant.Strikes_Landed"
"751","Sean O'Connell","Steve Bosse",5,2,0,1,33,35,185,180,93,93,"USA","Canada","06/20/2016","DEC","red",0,0,2,0,0,0,0,0,0,0,0,0,95,59,57,5,0,0
"752","Chase Sherman","Walt Harris",1,3,0,0,27,33,193,195,113,113,"USA","USA","01/17/2017","KO/TKO","red",0,0,0,0,1,0,0,0,0,0,0,0,30,19,10,53,18,15
"753","Chris Wade","Zhang Lipeng",1,2,1,2,29,27,177,180,70,70,"USA","China","01/20/2015","DEC","blue",1,0,0,2,1,0,1,0,0,1,4,1,0,0,0,9,11,9
"754","Justin Scoggins","John Moraga",2,2,0,0,24,33,170,167,61,56,"USA","USA","09/08/2014","SUB","red",2,0,1,0,1,0,6,1,4,0,0,0,28,11,46,5,35,11
"755","Damon Jackson","Rony Jason",1,2,0,0,28,33,180,170,65,65,"USA","Brazil","05/31/2015","SUB","no contest",0,0,0,0,1,0,0,0,0,0,1,1,15,5,0,12,12,9
"756","Albert Morales","Alejandro Perez",0,4,0,2,25,27,175,167,61,61,"States","Mexico","09/19/2016","","draw",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,73,42,10
"757","Andrew Holbrook","Jake Matthews",2,6,0,0,31,22,180,175,70,70,"USA","Australia","11/29/2016","DEC","blue",0,1,1,0,1,3,0,0,0,2,4,1,16,4,2,88,72,33
"758","Charlie Brenneman","Leandro Silva",2,1,0,0,36,31,177,175,70,70,"USA","Brazil","11/10/2014","SUB","red",0,0,0,0,1,0,2,0,0,1,3,0,17,1,0,5,8,13
"759","Cezar Ferreira","Oluwale Bamgbose",4,2,0,1,32,29,185,180,84,84,"Brazil","States","04/16/2016","DEC","blue",0,0,0,0,0,0,2,0,1,0,0,0,34,6,3,15,0,0
"760","Brendan O'Reilly","Vik Grujic",1,3,0,0,29,40,175,180,77,77,"Australia","Australia","05/11/2015","DEC","blue",0,0,0,0,0,0,0,0,0,2,0,0,4,3,8,25,0,1
"761","Jorge Masvidal","Jake Ellenberger",8,6,1,1,32,31,180,175,77,77,"USA","USA","12/05/2016","KO/TKO","blue",0,2,2,0,1,0,1,3,3,1,2,0,177,182,140,68,27,15
"762","Sean Strickland","Alex Garcia",3,3,3,1,26,29,185,175,77,77,"USA","Republic","02/22/2016","KO/TKO","blue",1,2,0,0,0,0,2,2,1,5,6,5,79,28,32,24,46,20
"763","Abel Trujillo","Gleison Tibau",2,4,0,0,33,33,172,177,70,70,"States","Brazil","11/09/2015","SUB","blue",0,0,0,0,0,0,2,0,0,3,4,4,20,13,0,38,39,37
"764","Valerie Letourneau","Joanna Jedrzejczyk",3,4,3,4,34,29,170,167,56,52,"Canada","Poland","11/18/2015","DEC","red",2,0,0,0,0,0,1,0,2,0,0,0,52,88,71,56,149,76
"765","Sultan Aliev","Kenny Robertson",0,2,0,2,32,33,182,177,77,77,"Russia","USA","01/26/2015","KO/TKO","red",0,0,0,1,2,0,0,0,0,2,2,0,0,0,0,37,25,17
"766","Al Iaquinta","Ross Pearson",3,1,1,1,29,32,175,172,70,70,"USA","England","11/10/2014","KO/TKO","blue",2,1,0,0,0,0,0,1,0,0,0,0,59,51,45,11,15,0
"767","Gina Mazany","Sara McMann",0,6,0,2,28,36,167,167,61,61,"States","States","02/20/2017","SUB","red",0,0,0,0,1,1,0,0,0,2,5,3,0,0,0,64,37,22
"768","Marion Reneau","Bethe Correia",1,5,1,1,39,33,167,165,61,61,"States","Brazil","03/13/2017","","draw",1,0,0,0,0,0,0,0,1,0,0,0,7,26,15,87,144,75
"769","Brandon Thatch","Gunnar Nelson",1,2,0,2,31,28,187,180,77,77,"USA","Iceland","07/13/2015","SUB","red",0,0,0,1,1,0,0,2,0,1,1,0,11,17,8,22,7,0
"770","Ronda Rousey","Amanda Nunes",5,5,0,4,30,28,170,172,61,61,"USA","Brazil","01/02/2017","KO/TKO","red",1,0,0,2,2,0,1,0,0,2,1,0,62,2,0,116,23,3
"771","Cody East","Walt Harris",0,1,0,0,28,33,190,195,111,113,"USA","USA","04/25/2016","KO/TKO","red",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,12,0
"772","Derrick Lewis","Shawn Jordan",4,2,1,1,32,32,190,182,118,118,"States","USA","06/08/2015","KO/TKO","red",0,0,0,0,0,0,2,0,0,1,1,1,46,36,0,29,3,15
"773","Ed Herman","Nikita Krylov",3,1,1,1,36,25,185,190,93,93,"USA","Ukraine","12/05/2016","KO/TKO","red",0,0,0,0,1,0,1,0,0,0,0,0,39,35,24,32,26,0
"774","Daron Cruickshank","Paul Felder",7,4,0,0,31,32,172,180,70,70,"USA","States","01/18/2016","SUB","red",1,0,1,0,0,0,4,5,2,0,0,1,108,51,18,70,82,39
"775","Yuta Sasaki","Roland Delorme",0,1,0,0,27,33,177,175,56,61,"Japan","Canada","08/25/2014","SUB","blue",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1
"776","Nate Diaz","Conor McGregor",2,5,1,5,31,28,182,175,77,70,"USA","Ireland","03/07/2016","SUB","blue",0,0,0,0,0,0,0,0,0,1,0,0,30,73,63,94,48,0
"777","Jocelyn Jones-Lybarger","Tecia Torres",0,2,0,2,31,27,170,154,52,52,"States","States","12/14/2015","DEC","red",0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,44,31,53
"778","Colby Covington","Mike Pyle",2,2,2,0,29,41,180,182,77,77,"USA","USA","05/25/2015","DEC","blue",0,0,1,0,0,1,4,2,1,2,2,0,23,8,3,13,8,37
"779","Chris Dempsey","Eddie Gordon",1,2,0,0,29,33,177,182,84,84,"USA","Indies","04/19/2015","DEC","blue",0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,27,3,0
"780","Tim Means","Hernani Perpetuo",1,1,0,0,33,31,187,182,77,77,"USA","Brazil","07/26/2014","DEC","blue",0,0,1,0,0,1,0,1,2,0,0,0,13,12,5,6,7,8
"781","Noad Lahat","Steven Siler",1,1,0,0,32,30,175,180,65,65,"Israel","USA","07/26/2014","DEC","blue",0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,11,0,0
"782","Iuri Alcantara","Vaughan Lee",1,1,1,1,36,34,175,167,61,61,"Brazil","England","06/02/2014","KO/TKO","blue",0,0,0,0,0,0,1,0,1,0,0,0,13,16,13,58,35,49
"783","Sam Sicilia","Katsunori Kikuno",2,2,1,0,31,35,172,172,65,65,"States","Japan","09/22/2014","SUB","red",0,1,0,0,0,0,1,1,3,0,1,2,24,14,13,29,8,8
"784","Francisco Rivera","Urijah Faber",1,2,0,1,35,37,172,167,61,61,"USA","USA","12/08/2014","SUB","red",0,1,0,0,0,1,3,0,0,1,3,1,14,8,19,18,7,3
"785","Andrew Holbrook","Gregor Gillespie",3,1,1,1,31,30,180,175,70,70,"USA","States","04/10/2017","KO/TKO","red",1,3,1,0,0,0,2,0,0,2,2,1,28,11,13,17,11,13
"786","Tim Means","Matt Brown",5,2,4,0,33,36,187,182,77,77,"USA","USA","07/13/2015","SUB","red",0,0,2,0,4,0,1,3,3,3,1,1,92,79,58,51,61,29
"787","Alexander Yakovlev","Zak Cummings",5,5,0,0,32,32,190,182,77,77,"Russia","USA","11/20/2016","SUB","red",0,0,0,1,0,1,3,0,2,1,3,1,31,43,46,44,62,45
"788","Matt Schnell","Rob Font",0,2,0,0,27,29,172,172,61,61,"USA","USA","12/05/2016","KO/TKO","red",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,15,8
"789","Andre Fili","Max Holloway",0,1,0,1,26,25,177,180,65,65,"USA","USA","05/23/2014","SUB","red",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,37,0
"790","Steve Bosse","James Te Huna",1,1,0,0,35,35,180,187,93,84,"Canada","Zealand","03/21/2016","KO/TKO","blue",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0
"791","Jorge Masvidal","Donald Cerrone",9,12,2,4,32,33,180,185,77,77,"USA","States","01/31/2017","KO/TKO","blue",0,2,2,7,0,0,1,3,3,5,1,1,221,182,140,182,212,112
"792","Derrick Lewis","Roy Nelson",7,5,2,1,32,40,190,182,118,119,"States","USA","07/11/2016","DEC","blue",0,0,0,0,0,0,3,0,0,2,1,0,67,61,15,54,46,42
"793","Kyle Bochniak","Enrique Barzola",1,1,0,1,30,27,170,170,65,65,"USA","Peru","08/28/2016","DEC","blue",0,0,0,0,0,0,0,1,0,3,1,1,17,18,17,13,11,14
"794","Paul Felder","Edson Barboza",2,4,2,0,32,31,180,180,70,70,"States","Brazil","07/27/2015","DEC","red",0,0,0,0,0,0,0,0,1,0,0,0,37,36,11,75,23,25
"795","Tim Means","George Sullivan",4,2,3,2,33,36,187,182,77,77,"USA","USA","04/20/2015","SUB","blue",0,0,1,0,0,0,1,2,2,3,0,0,80,54,47,42,29,33
"796","Ashley Yoder","Justine Kish",0,1,0,1,29,28,170,165,52,52,"USA","Russia","12/11/2016","DEC","red",0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,41,16,15
"797","Michael McBride","Nik Lentz",0,2,0,2,31,32,185,172,70,70,"States","States","09/11/2016","KO/TKO","red",0,0,0,2,0,0,0,0,0,3,2,2,0,0,0,32,44,35
"798","John Lineker","TJ Dillashaw",7,6,6,1,26,31,160,167,61,61,"Brazil","USA","01/02/2017","DEC","red",4,2,0,2,0,0,1,1,1,1,1,2,110,116,145,131,184,202
"799","Anthony Njokuani","Daron Cruickshank",1,3,0,0,37,31,185,172,70,70,"Nigeria","USA","10/06/2014","DEC","red",0,0,0,1,0,1,0,0,0,0,2,1,10,6,8,56,31,2
"800","Diego Brandao","Katsunori Kikuno",2,4,1,0,29,35,170,172,65,65,"Brazil","Japan","10/01/2015","KO/TKO","blue",1,0,0,0,1,0,2,0,0,0,2,2,21,0,0,57,13,8
"801","Alex Caceres","Yair Rodriguez",6,4,2,4,28,24,177,180,65,65,"USA","Mexico","08/08/2016","DEC","red",0,0,1,4,2,1,3,2,2,3,4,0,76,98,94,52,68,47
"802","Tim Elliott","Louis Smolka",1,8,0,0,30,25,170,175,56,56,"USA","USA","04/15/2017","DEC","blue",2,0,0,4,9,3,1,1,1,2,5,5,12,4,5,138,152,92
"803","Jake Ellenberger","Tarec Saffiedine",4,2,0,0,31,30,175,177,77,77,"USA","Belgium","02/01/2016","DEC","red",0,1,0,0,0,0,1,2,0,0,0,1,35,18,6,26,61,30
"804","Tatsuya Kawajiri","Dennis Bermudez",4,4,2,0,38,30,170,167,65,65,"Japan","States","02/22/2016","DEC","red",0,1,1,1,1,0,5,4,5,6,3,0,53,28,20,79,50,16
"805","Lorenz Larkin","Jorge Masvidal",6,6,0,0,30,32,180,180,77,77,"USA","USA","05/31/2016","DEC","blue",0,0,0,0,2,0,0,0,0,1,2,2,105,74,58,135,113,90
"806","Mirsad Bektic","Lucas Martins",2,2,2,0,26,28,172,182,65,65,"Bosnia","Brazil","05/31/2015","KO/TKO","blue",0,0,0,0,1,0,1,1,2,0,0,0,28,21,12,34,25,20
"807","Minotauro Nogueira","Stefan Struve",1,1,0,0,40,29,190,213,109,120,"Brazil","Netherlands","08/02/2015","DEC","red",0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,2,0,0
"808","Patrick Cummins","Glover Teixeira",6,3,1,1,36,37,187,187,93,93,"USA","Brazil","11/09/2015","KO/TKO","red",1,0,0,0,0,1,13,8,5,3,1,1,93,88,57,39,46,40
"809","Tony Sims","Abel Trujillo",2,3,0,1,31,33,180,172,70,70,"States","States","01/04/2016","SUB","red",0,0,1,0,0,0,0,0,0,2,0,0,10,0,23,20,13,0
"810","Willie Gates","Darrell Montague",1,1,0,0,30,29,172,167,56,56,"USA","USA","07/13/2015","KO/TKO","blue",1,0,0,0,2,0,0,0,0,1,0,0,13,5,4,5,13,8
"811","Eddie Gordon","Antonio Carlos Junior",3,2,0,0,33,27,182,187,84,84,"Indies","Brazil","06/28/2015","SUB","red",0,0,0,1,1,0,2,1,2,2,1,3,45,13,9,16,11,4
"812","Elizeu Zaleski dos Santos","Keita Nakamura",2,2,1,1,30,32,180,180,77,77,"Brazil","Japan","10/03/2016","DEC","blue",1,0,0,0,2,0,0,0,0,1,1,1,18,37,74,21,26,0
"813","Danielle Taylor","Maryna Moroz",0,3,0,1,27,25,152,170,52,52,"USA","Ukraine","08/08/2016","DEC","red",0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,38,46,18
"814","TJ Dillashaw","Renan Barao",1,1,1,1,31,30,167,167,61,65,"USA","Brazil","05/25/2014","KO/TKO","blue",0,0,0,0,0,0,1,1,0,0,0,0,24,45,48,17,0,0
"815","Junior Dos Santos","Ben Rothwell",2,1,0,1,33,35,193,193,108,120,"Brazil","USA","04/11/2016","DEC","blue",0,0,0,0,0,0,0,0,0,0,0,0,27,31,21,17,0,0
"816","Colby Covington","Warlley Alves",3,3,3,3,29,26,180,180,77,77,"USA","Brazil","12/14/2015","SUB","red",0,0,1,1,1,1,5,3,1,3,2,0,26,21,13,35,28,20
"817","Daniel Omielanczuk","Stefan Struve",5,4,3,1,34,29,182,213,112,120,"Poland","Netherlands","10/11/2016","SUB","red",0,0,0,0,0,0,0,1,1,0,0,1,46,81,37,37,41,63
"818","Alistair Overeem","Stipe Miocic",6,6,4,3,36,34,193,193,120,109,"England","USA","09/12/2016","KO/TKO","red",0,0,0,0,0,0,2,0,0,1,2,3,111,68,37,84,72,73
"819","George Roop","Takeya Mizugaki",2,3,0,0,35,33,180,170,61,61,"USA","Japan","09/27/2015","DEC","red",0,0,0,0,0,0,1,0,1,0,0,0,24,11,28,25,8,17
"820","Geane Herrera","Ben Nguyen",3,3,0,0,26,28,165,165,56,56,"USA","USA","11/27/2016","DEC","red",0,1,1,3,0,0,1,1,0,0,0,0,19,33,8,41,1,0
"821","Pawel Pawlak","Leon Edwards",2,2,1,1,28,25,182,182,77,77,"Poland","Jamaica","07/23/2015","DEC","red",0,0,0,0,0,0,1,1,1,0,0,0,21,14,16,18,14,4
"822","Luan Chagas","Erick Silva",1,6,0,0,23,32,182,182,77,77,"Brazil","Brazil","09/26/2016","SUB","red",0,0,0,3,0,0,0,0,0,2,1,1,20,21,5,58,20,21
"823","Kelvin Gastelum","Tim Kennedy",7,2,1,0,25,37,175,180,84,84,"States","States","12/11/2016","KO/TKO","blue",1,0,0,0,1,0,2,0,2,2,0,1,133,147,108,13,36,6
"824","Zak Cummings","Nicolas Dalby",3,1,1,1,32,32,182,180,77,77,"USA","Denmark","04/11/2016","DEC","blue",0,0,1,0,0,0,0,3,0,3,2,1,24,23,13,14,15,12
"825","Levan Makashvili","Mark Eddiva",0,2,0,0,28,31,172,172,65,65,"USA","Philippines","05/18/2015","DEC","blue",0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,48,42,13
"826","Rony Jason","Dennis Bermudez",3,5,0,1,33,30,170,167,65,65,"Brazil","States","08/08/2016","DEC","red",1,1,0,1,2,0,0,1,1,7,3,3,17,12,9,86,90,30
"827","Garreth McLellan","Magnus Cedenblad",0,2,0,2,34,34,185,190,84,84,"Africa","Sweden","08/29/2016","KO/TKO","red",0,0,0,0,1,0,0,0,0,3,2,1,0,0,0,16,18,6
"828","Mats Nilsson","Omari Akhmedov",1,1,0,0,33,29,185,182,77,77,"Sweden","Russia","01/05/2015","DEC","red",0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,6,0,0
"829","Leonardo Mafra","Rick Story",0,1,0,0,27,32,177,177,70,77,"Brazil","USA","07/17/2014","SUB","red",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,22,14
"830","Cody Gibson","Johnny Bedford",1,1,0,0,29,34,177,177,61,61,"USA","USA","06/30/2014","KO/TKO","blue",0,1,0,0,0,0,1,3,0,0,0,0,8,8,2,4,0,0
"831","Phillipe Nover","Renan Barao",1,5,0,0,33,30,175,167,65,65,"States","Brazil","09/26/2016","DEC","red",0,0,0,0,0,1,0,0,0,0,1,3,3,9,8,86,68,69
"832","Ketlen Vieira","Kelly Faszholz",0,1,0,0,25,31,172,172,61,61,"Brazil","USA","10/03/2016","DEC","blue",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,29,6
"833","Ulka Sasaki","Taylor Lapilus",2,1,0,1,27,24,177,167,56,61,"Japan","France","06/22/2015","KO/TKO","red",1,1,0,1,0,0,1,0,0,0,0,2,8,5,0,31,21,28
"834","Antonio Carlos Junior","Daniel Kelly",4,1,0,1,27,39,187,182,84,84,"Brazil","Australia","03/21/2016","KO/TKO","red",1,1,1,0,0,0,4,2,4,3,1,1,31,33,8,25,12,26
"835","Raquel Pennington","Jessica Andrade",3,3,0,3,28,25,170,160,61,52,"States","Brazil","09/07/2015","SUB","blue",2,1,0,2,0,0,1,0,2,4,3,0,22,48,57,39,46,50
"836","Bethe Correia","Jessica Eye",4,5,0,0,33,30,165,167,61,61,"Brazil","USA","09/12/2016","DEC","blue",0,0,0,0,1,0,0,0,0,0,1,0,72,126,59,115,47,61
"837","Andrew Holbrook","Ramsey Nijem",0,3,0,0,31,28,180,180,70,70,"USA","USA","07/27/2015","DEC","blue",0,0,0,1,1,0,0,0,0,3,2,3,0,0,0,65,17,16
"838","Rob Font","George Roop",0,1,0,1,29,35,172,180,61,61,"USA","USA","07/08/2014","KO/TKO","blue",0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,14,11,28
"839","Jim Miller","Donald Cerrone",1,2,1,2,33,33,172,185,70,77,"States","States","07/17/2014","KO/TKO","red",1,0,0,2,0,0,1,0,0,1,0,0,9,0,0,27,0,0
"840","Niko Price","Alex Morono",1,2,1,2,27,26,182,180,77,77,"States","States","02/06/2017","KO/TKO","no contest",2,0,0,0,0,1,1,0,0,0,0,0,6,0,0,29,46,79
"841","Konstantin Erokhin","Viktor Pesta",0,1,0,0,34,26,180,190,104,109,"Russia","Republic","01/26/2015","DEC","red",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,14,5,7
"842","Sergio Pettis","John Moraga",6,6,2,0,23,33,167,167,56,56,"USA","USA","01/17/2017","DEC","blue",1,1,0,2,2,1,3,2,2,0,0,1,119,122,77,44,82,58
"843","Aisling Daly","Randa Markos",1,1,1,0,29,31,157,162,52,52,"Ireland","Iraq","04/27/2015","DEC","red",1,0,0,0,0,0,1,0,0,0,1,0,16,0,0,8,28,19
"844","Davi Ramos","Sergio Moraes",0,4,0,1,30,34,172,182,77,77,"Brazil","Brasil","03/12/2017","DEC","red",0,0,0,0,1,0,0,0,0,2,0,1,0,0,0,35,50,50
"845","Matt Hobar","Aaron Phillips",1,1,0,0,30,27,177,175,61,65,"USA","USA","08/25/2014","DEC","blue",0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,9,7,2
"846","Louis Smolka","Chris Cariaso",1,1,1,1,25,35,175,160,56,56,"USA","USA","05/12/2014","DEC","red",0,0,1,0,0,0,0,0,0,0,0,0,16,22,54,15,29,29
"847","Dennis Bermudez","Clay Guida",1,1,1,1,30,35,167,170,65,65,"States","USA","07/26/2014","SUB","blue",1,0,0,0,0,0,4,2,0,1,1,1,23,18,14,15,14,18
"848","Frankie Perez","Johnny Case",0,1,0,1,27,27,180,177,70,70,"USA","USA","01/20/2015","KO/TKO","red",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,11,0
"849","Robert Peralta","Rony Jason",0,1,0,1,31,33,172,170,65,65,"USA","Brazil","06/02/2014","DEC","blue",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
"850","Paul Redmond","Rob Whiteford",1,1,0,1,30,33,175,175,65,65,"Ireland","Scotland","07/23/2015","KO/TKO","red",0,0,0,0,0,0,0,0,0,2,1,2,1,1,0,15,9,2
"851","Frank Mir","Antonio Silva",1,1,0,0,37,37,190,193,119,119,"USA","Brazil","02/23/2015","KO/TKO","blue",0,1,0,0,0,0,0,1,0,0,0,0,1,2,0,6,0,0
"852","Kevin Lee","Francisco Trinaldo",8,9,3,7,24,38,175,175,70,70,"States","Brazil","03/13/2017","SUB","blue",3,4,2,0,1,0,8,8,3,2,2,4,126,74,77,147,145,134
"853","Trevor Smith","Andrew Sanchez",6,1,2,1,36,28,190,185,84,84,"USA","USA","12/11/2016","DEC","red",2,3,0,0,0,0,3,1,4,4,1,1,69,61,67,6,17,8
"854","Jared Cannonier","Glover Teixeira",2,6,2,0,33,37,180,187,93,93,"States","Brazil","02/13/2017","DEC","red",0,0,0,0,0,1,0,0,0,3,1,1,38,21,27,78,68,40
"855","Emil Meek","Jordan Mein",0,3,0,0,28,27,180,182,77,77,"Norway","Canada","12/11/2016","DEC","blue",0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,64,16,13
"856","Alessio Di Chirico","Garreth McLellan",1,1,0,0,27,34,182,185,84,84,"Italy","Africa","08/29/2016","DEC","blue",0,0,0,0,0,0,0,1,1,0,0,0,22,20,23,11,1,0
"857","Lukasz Sajewski","Gilbert Burns",1,3,0,3,26,30,172,177,70,70,"Poland","Brasil","07/11/2016","SUB","red",0,0,0,2,0,2,0,0,0,3,1,1,5,10,11,29,27,30
"858","Joe Soto","Chris Beal",3,4,0,0,30,31,167,170,61,61,"States","USA","06/20/2016","SUB","blue",1,1,2,1,0,0,0,0,1,3,1,3,20,31,66,58,55,43
"859","Cortney Casey","Seohee Ham",1,1,0,0,29,30,170,157,52,52,"USA","Korea","11/30/2015","DEC","red",0,0,0,0,0,0,0,0,0,0,0,0,23,16,18,31,20,7
"860","Bojan Mihajlovic","Francis Ngannou",0,1,0,1,36,30,180,193,106,113,"Serbia","Cameroon","07/25/2016","KO/TKO","red",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,21,0
"861","Piotr Hallmann","Gleison Tibau",1,1,1,1,29,33,175,177,70,70,"Poland","Brazil","09/15/2014","DEC","red",0,0,1,0,0,0,2,1,1,1,1,2,19,24,13,12,14,18
"862","Leonardo Morales","Jose Quinonez",1,1,0,0,24,26,172,172,61,61,"Nicaragua","Mexico","06/08/2015","SUB","red",0,0,0,0,0,2,0,0,0,2,0,1,10,5,18,11,13,14
"863","Christos Giagos","Gilbert Burns",0,1,0,1,27,30,177,177,70,70,"USA","Brasil","10/27/2014","SUB","red",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,14,20,28
"864","Sam Alvey","Elias Theodorou",4,4,0,0,30,28,187,185,84,84,"States","Canada","06/20/2016","DEC","red",0,0,0,0,0,0,0,0,0,0,6,3,26,18,52,76,90,17
"865","Ali Bagautinov","Kyoji Horiguchi",4,6,1,2,31,26,162,165,56,56,"Russia","Japan","11/20/2016","DEC","red",1,0,0,0,0,0,4,2,7,2,5,3,61,68,63,112,113,87
"866","Uriah Hall","Gegard Mousasi",4,5,1,2,32,31,182,187,84,84,"Jamaica","Netherlands","10/01/2015","KO/TKO","blue",0,0,1,2,0,0,2,1,0,1,2,1,73,20,30,49,33,51
"867","Chris Cariaso","Demetrious Johnson",2,1,2,1,35,30,160,160,56,56,"USA","USA","09/29/2014","SUB","red",2,2,0,0,0,0,0,1,1,0,0,0,38,42,57,16,35,32
"868","Yusuke Kasuya","Nick Hein",0,3,0,1,27,32,170,167,70,70,"Japan","Germany","09/27/2015","DEC","red",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,30,29,70
"869","Max Holloway","Akira Corassani",3,1,3,0,25,34,180,172,65,65,"USA","Sweden","10/06/2014","KO/TKO","blue",0,0,1,0,0,0,0,0,0,0,0,0,111,90,67,21,3,0
"870","Luke Rockhold","Lyoto Machida",3,3,3,1,32,38,190,185,84,84,"USA","Brazil","04/20/2015","SUB","blue",3,1,0,0,0,0,0,0,0,0,0,0,34,8,0,24,14,16
"871","Louis Gaudinot","Kyoji Horiguchi",1,2,0,2,32,26,160,165,56,56,"USA","Japan","01/05/2015","DEC","red",1,0,0,0,0,0,0,0,0,0,1,1,2,0,0,41,31,24
"872","Tom Duquesnoy","Patrick Williams",0,2,0,1,23,35,170,172,61,61,"France","USA","04/16/2017","KO/TKO","blue",0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,19,3,0
"873","Iuri Alcantara","Brad Pickett",6,5,0,1,36,38,175,167,61,61,"Brazil","England","10/11/2016","SUB","blue",0,0,0,1,0,0,3,0,3,2,3,4,56,70,73,75,62,46
"874","Gegard Mousasi","Dan Henderson",3,2,0,0,31,46,187,180,84,84,"Netherlands","USA","01/27/2015","KO/TKO","blue",2,0,0,0,0,0,0,0,0,0,0,0,32,12,29,15,5,9
"875","Jan Blachowicz","Ilir Latifi",0,2,0,2,34,33,187,177,93,93,"Poland","Sweden","10/06/2014","KO/TKO","blue",0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,16,0,0
"876","Alexander Gustafsson","Daniel Cormier",2,4,0,1,30,38,195,180,93,93,"Sweden","USA","10/05/2015","DEC","red",0,0,0,0,3,2,1,0,0,3,2,1,21,10,0,52,57,33
"877","Roger Zapata","Shinsho Anzai",0,1,0,0,30,31,180,170,77,77,"Republic","Japan","10/01/2015","KO/TKO","red",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,31,0,0
"878","Damian Stasiak","Davey Grant",2,1,1,1,27,31,172,172,61,61,"Poland","","10/21/2016","SUB","blue",2,0,0,0,0,0,3,0,0,0,1,0,8,6,2,22,32,18
"879","James Krause","Jamie Varner",0,1,0,0,30,32,187,172,70,70,"USA","USA","06/03/2014","KO/TKO","blue",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7,29,0
"880","Felipe Olivieri","Tony Martin",0,3,0,0,31,27,175,182,70,70,"Brazil","USA","02/01/2016","SUB","red",0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,37,12,0
"881","Fabio Maldonado","Stipe Miocic",1,1,1,1,37,34,185,193,93,109,"Brazil","USA","06/02/2014","KO/TKO","red",0,0,0,0,0,0,0,0,0,0,0,1,1,59,72,11,25,27
"882","Guto Inocente","Derrick Lewis",0,1,0,1,30,32,190,190,93,118,"Brazil","States","07/08/2014","KO/TKO","red",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,22,0,0
"883","Robert Whittaker","Uriah Hall",4,5,3,2,26,32,182,182,84,84,"Zealand","Jamaica","11/18/2015","DEC","blue",0,0,0,1,0,1,1,0,1,2,1,0,79,47,18,74,37,30
"884","Andre Soukhamthath","Albert Morales",0,2,0,0,28,25,175,175,61,61,"","States","03/06/2017","DEC","red",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,43,23,31
"885","Darren Stewart","Francimar Barroso",0,4,0,0,26,37,177,185,93,93,"England","Brazil","11/22/2016","KO/TKO","no contest",0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,47,67,47
"886","Mickey Gall","Sage Northcutt",2,4,2,1,25,21,187,182,77,70,"USA","USA","12/18/2016","SUB","blue",3,0,0,0,1,1,1,0,0,3,1,0,22,0,0,56,11,21
