"","fighter","winby","n"
"1","Derrick Lewis","KO/TKO",6
"2","Conor McGregor","KO/TKO",5
"3","Donald Cerrone","KO/TKO",5
"4","Gegard Mousasi","KO/TKO",5
"5","Stipe Miocic","KO/TKO",5
