"","fighter","winby","n"
"1","Francisco Trinaldo","DEC",5
"2","Neil Magny","DEC",5
"3","Sergio Pettis","DEC",5
"4","Beneil Dariush","DEC",4
"5","Darren Elkins","DEC",4
