"","fighter","winby","n"
"1","Chas Skelly","SUB",4
"2","Gunnar Nelson","SUB",4
"3","Olivier Aubin-Mercier","SUB",4
"4","Tony Ferguson","SUB",4
"5","Charles Oliveira","SUB",3
